"Year","$%","Title_EN","Country","Genres","Distribution","IMDb"
1993,"21","True Romance","USA","Thriller/Romance/Drama",,"tt0108399"
1993,"19","Return of the Living Dead 3","USA/J","Horror/Comedy/Sci-Fi",,"tt0107953"
1993,"18","Amityville: A New Generation","USA","Horror/Mystery/Fantasy","d2Video","tt0106262"
1993,"16","Even Cowgirls Get the Blues","USA","Comedy/Drama/Western",,"tt0106834"
1993,"12","Emmanuelle's 7th Heaven","F","Erotic/Sci-Fi/Drama",,"tt0160245"
1994,"94","The Lion King","USA","Animation/Family/Adventure",,"tt0110357"
1994,"92","Forrest Gump","USA","Drama/Comedy/Epic",,"tt0109830"
1994,"88","Speed","USA","Action/Thriller/Adventure",,"tt0111257"
1994,"87","True Lies","USA","Action/Comedy/Thriller",,"tt0111503"
1994,"86","The Flintstones","USA","Family/Comedy/Adventure",,"tt0109813"
1994,"86","The Mask","USA","Comedy/Fantasy/Action",,"tt0110475"
1994,"85","Four Weddings and a Funeral","GB","Romance/Comedy/Drama",,"tt0109831"
1994,"84","Pulp Fiction","USA","Thriller/Action/Comedy",,"tt0110912"
1994,"83","Interview with the Vampire: The Vampire Chronicles","USA","Horror/Drama/Fantasy",,"tt0110148"
1994,"83","Dumb and Dumber","USA","Comedy/-",,"tt0109686"
1994,"82","Clear and Present Danger","USA","Thriller/Action/Drama",,"tt0109444"
1994,"82","Disclosure","USA","Thriller/Drama",,"tt0109635"
1994,"81","The Santa Clause","USA","Family/Fantasy/Comedy",,"tt0111070"
1994,"81","Maverick","USA","Western/Comedy/Adventure",,"tt0110478"
1994,"80","Stargate","USA/F","Sci-Fi/Action/Adventure",,"tt0111282"
1994,"80","The Specialist","USA","Thriller/Action/Drama",,"tt0111255"
1994,"79","Legends of the Fall","USA","Drama/Western/Romance",,"tt0110322"
1994,"77","Naked Gun 33⅓: The Final Insult","USA","Comedy/Crime",,"tt0110622"
1994,"77","Wolf","USA","Horror/Drama/Romance",,"tt0111742"
1994,"75","When a Man Loves a Woman","USA","Drama/Romance",,"tt0111693"
1994,"74","Beverly Hills Cop III","USA","Action/Comedy/Crime",,"tt0109254"
1994,"73","Junior","USA","Comedy/Sci-Fi/Romance",,"tt0110216"
1994,"73","Star Trek: Generations","USA","Sci-Fi/Adventure/Action",,"tt0111280"
1994,"73","The Client","USA","Thriller/Drama/Mystery",,"tt0109446"
1994,"71","Natural Born Killers","USA","Action/Thriller/Romance",,"tt0110632"
1994,"71","Street Fighter","USA/J","Action/Adventure/Comedy",,"tt0111301"
1994,"71","Timecop","USA","Action/Sci-Fi/Crime",,"tt0111438"
1994,"70","The Most Desired Man / Maybe ... Maybe Not","D","Comedy/Drama/Romance",,"tt0109255"
1994,"70","WrestleMania X","USA","Event/Action/Sports","d2TV","tt0252105"
1994,"69","The Crow","USA","Fantasy/Thriller/Action",,"tt0109506"
1994,"68","Richie Rich","USA","Family/Comedy",,"tt0110989"
1994,"67","Mary Shelley's Frankenstein","USA/J","Horror/Drama/Sci-Fi",,"tt0109836"
1994,"66","City Slickers II: The Legend of Curly's Gold","USA","Comedy/Adventure/Western",,"tt0109439"
1994,"65","Ace Ventura: Pet Detective","USA","Comedy/Crime",,"tt0109040"
1994,"65","Léon: The Professional","F","Action/Thriller/Drama",,"tt0110413"
1994,"64","Columbo: Undercover","USA","Crime/Drama/Mystery","d2TV","tt31188020"
1994,"62","Columbo: Butterfly in Shades of Grey","USA","Crime/Drama/Mystery","d2TV","tt0109458"
1994,"61","MacGyver: Lost Treasure of Atlantis","USA","Action/Adventure/Thriller","d2TV","tt0110419"
1994,"61","MacGyver: Trail to Doomsday","USA","Action/Adventure/Thriller","d2TV","tt0110420"
1994,"60","The Little Rascals","USA","Family/Comedy/Romance",,"tt0110366"
1994,"56","Asterix Conquers America","D/F","Animation/Comedy/Adventure",,"tt0109162"
1994,"55","The Tonight Show with Jay Leno","USA","Talkshow/Gossip/Show","d2TV","tt2145345"
1994,"55","The Jungle Book","USA","Family/Adventure/Romance",,"tt0110213"
1994,"49","Color of Night","USA","Thriller/Erotic/Mystery",,"tt0109456"
1994,"46","Terminal Velocity","USA","Action/Mystery/Romance",,"tt0111400"
1994,"45","The Shawshank Redemption","USA","Drama/Thriller",,"tt0111161"
1994,"45","The Voyeur","I","Erotic/Drama/Romance",,"tt0111573"
1994,"45","Chungking Express","HK","Thriller/Drama/Comedy",,"tt0109424"
1994,"42","Fatherland","USA","Thriller/Drama/Mystery","d2TV","tt0109779"
1994,"41","My Girl 2","USA","Family/Comedy/Drama",,"tt0110613"
1994,"40","The NeverEnding Story III: Escape from Fantasia","D/USA","Fantasy/Family/Drama",,"tt0110647"
1994,"38","Beyond Betrayal","USA","Thriller/Drama/Action","d2TV","tt0109256"
1994,"35","The Search for Nihil Baxter","D","Comedy/Crime",,"tt0109000"
1994,"31","Wes Craven's New Nightmare","USA","Horror/Thriller/Fantasy",,"tt0111686"
1994,"30","Three Colours: Red","F/PL/CH","Drama/Mystery/Romance",,"tt0111495"
1994,"28","In the Mouth of Madness","USA","Horror/Drama/Fantasy",,"tt0113409"
1994,"28","Heavenly Creatures","NZ","Drama/Crime",,"tt0110005"
1994,"27","The Next Karate Kid","USA","Action/Family/Drama",,"tt0110657"
1994,"27","Madame Aema 10","ROK","Erotic/Romance/Drama",,"tt0305182"
1994,"25","Three Colours: White","F/PL/CH","Drama/Comedy/Romance",,"tt0111507"
1994,"24","Lassie: Best Friends are Forever","USA","Family/Adventure/Drama",,"tt0110305"
1994,"18","Death and the Maiden","USA/GB/F","Thriller/Drama/Mystery",,"tt0109579"
1994,"18","Brainscan","USA","Horror/Sci-Fi",,"tt0109327"
1994,"15","Mixed Nuts","USA","Comedy/Drama",,"tt0110538"
1994,"15","The Blue One","D","Thriller/Drama",,"tt0109291"
1994,"14","Police Academy: Mission to Moscow","USA","Comedy/Action/Crime",,"tt0110857"
1994,"13","Leprechaun 2: One Wedding and Lots of Funerals","USA","Horror/Comedy/Fantasy",,"tt0110329"
1995,"92","GoldenEye","GB/USA","Thriller/Action/Adventure",,"tt0113189"
1995,"89","Toy Story","USA","Animation/Family/Adventure",,"tt0114709"
1995,"89","Babe the Sheep-Pig","AUS/USA/GB","Family/Comedy/Drama",,"tt0112431"
1995,"87","Die Hard with a Vengeance","USA","Action/Thriller",,"tt0112864"
1995,"87","Apollo 13","USA","Thriller/Drama/History",,"tt0112384"
1995,"87","Pocahontas","USA","Animation/Family/Adventure",,"tt0114148"
1995,"86","Se7en","USA","Thriller/Drama/Mystery",,"tt0114369"
1995,"86","Batman Forever","USA","Sci-Fi/Action/Thriller",,"tt0112462"
1995,"86","Casper","USA","Family/Fantasy/Animation",,"tt0112642"
1995,"85","Jumanji","USA","Fantasy/Adventure/Comedy",,"tt0113497"
1995,"85","Waterworld","USA","Adventure/Action/Sci-Fi",,"tt0114898"
1995,"81","Ace Ventura: When Nature Calls","USA","Comedy/Crime/Adventure",,"tt0112281"
1995,"80","Braveheart","USA","Epic/History/Adventure",,"tt0112573"
1995,"80","Outbreak","USA","Thriller/Drama/Action",,"tt0114069"
1995,"80","Ghost in the Shell","J/GB","Animation/Sci-Fi/Thriller",,"tt0113568"
1995,"79","Dangerous Minds","USA","Drama/-",,"tt0112792"
1995,"79","While You Were Sleeping","USA","Romance/Comedy/Drama",,"tt0114924"
1995,"79","The Bridges of Madison County","USA","Romance/Drama",,"tt0112579"
1995,"79","Heat","USA","Thriller/Action/Drama",,"tt0113277"
1995,"78","Crimson Tide","USA","Thriller/Action/Drama",,"tt0112740"
1995,"77","Congo","USA","Adventure/Action/Sci-Fi",,"tt0112715"
1995,"77","Nine Months","USA","Comedy/Drama/Romance",,"tt0113986"
1995,"76","Sense and Sensibility","USA/GB","Drama/Romance",,"tt0114388"
1995,"75","Whisper of the Heart","J","Animation/Family/Romance",,"tt0113824"
1995,"74","Bad Boys","USA","Action/Comedy/Crime",,"tt0112442"
1995,"74","Get Shorty","USA","Comedy/Thriller/Crime",,"tt0113161"
1995,"73","Mr. Holland's Opus","USA","Drama/Music",,"tt0113862"
1995,"72","Mortal Kombat","USA","Sci-Fi/Action/Adventure",,"tt0113855"
1995,"71","Casino","USA","Thriller/Epic/Drama",,"tt0112641"
1995,"71","Wallace and Gromit: A Close Shave","GB","Animation/Family/Comedy","d2TV","tt0112691"
1995,"70","The Net","USA","Thriller/Action/Drama",,"tt0113957"
1995,"69","Under Siege 2: Dark Territory","USA","Action/Thriller/Adventure",,"tt0114781"
1995,"67","Past the Bleachers","USA","Family/Drama/Mystery","d2TV","tt0114100"
1995,"65","Assassins","USA","Thriller/Action/Crime",,"tt0112401"
1995,"64","Twelve Monkeys","USA","Sci-Fi/Thriller/Mystery",,"tt0114746"
1995,"62","One-Two - Best of","D","Talkshow/Sports","d2TV","tt0435952"
1995,"60","Columbo: Strange Bedfellows","USA","Crime/Drama/Mystery","d2TV","tt0112705"
1995,"57","Judge Dredd","USA","Action/Sci-Fi/Crime",,"tt0113492"
1995,"55","WrestleMania XI","USA","Event/Action/Sports","d2TV","tt0252106"
1995,"55","Father of the Bride Part II","USA","Comedy/Family/Romance",,"tt0113041"
1995,"52","Grumpier Old Men","USA","Comedy/Romance",,"tt0113228"
1995,"50","The Usual Suspects","USA/D","Thriller/Drama/Mystery",,"tt0114814"
1995,"50","Free Willy 2: The Adventure Home","USA","Family/Adventure/Drama",,"tt0113114"
1995,"50","Don Juan DeMarco","USA","Comedy/Drama/Romance",,"tt0112883"
1995,"48","Highlander III: The Sorcerer / The Final Dimension","GB/CDN/F","Adventure/Fantasy/Action",,"tt0110027"
1995,"45","The City of Lost Children","F/E/D","Fantasy/Drama/Sci-Fi",,"tt0112682"
1995,"45","Fallen Angels","HK","Thriller/Drama/Comedy",,"tt0112913"
1995,"43","Desperado","MEX/USA","Action/Thriller/Western",,"tt0112851"
1995,"41","Johnny Mnemonic","CDN/USA","Sci-Fi/Drama/Action",,"tt0113481"
1995,"40","Smoke","USA/D/J","Comedy/Drama",,"tt0114478"
1995,"38","Showgirls","USA/F","Thriller/Erotic/Drama",,"tt0114436"
1995,"35","Brother of Sleep","D","Drama/Romance/Music",,"tt0114354"
1995,"35","Mighty Aphrodite","USA","Comedy/Romance",,"tt0113819"
1995,"35","Private Obsession","USA","Erotic/Drama/Thriller","d2Video","tt0114187"
1995,"32","Billy Madison","USA","Comedy/-",,"tt0112508"
1995,"32","Hackers","USA","Thriller/Drama/Romance",,"tt0113243"
1995,"28","Tank Girl","USA","Action/Comedy/Sci-Fi",,"tt0114614"
1995,"28","Madame Aema 11","ROK","Erotic/Drama/Thriller",,"tt0305183"
1995,"25","Candyman 2: Farewell to the Flesh","USA","Horror/Thriller/Fantasy",,"tt0112625"
1995,"21","Halloween 6: The Curse of Michael Myers","USA","Horror/Thriller/Drama",,"tt0113253"
1995,"21","The Return of the Texas Chainsaw Massacre","USA","Horror/Comedy/Thriller",,"tt0110978"
1995,"20","Truffles","F","Comedy/-",,"tt0114737"
1995,"17","Fair Game","USA","Action/Thriller/Romance",,"tt0113010"
1995,"17","Darkman II: The Return of Durant","CDN/USA","Sci-Fi/Thriller/Action","d2Video","tt0109552"
1995,"14","Jade","USA","Thriller/Erotic/Drama",,"tt0113451"
1995,"12","Blue in the Face","USA","Comedy/Drama",,"tt0112541"
1995,"12","Dead Man","USA","Western/Drama/Fantasy",,"tt0112817"
1995,"12","Leprechaun 3: In Vegas","USA","Horror/Comedy/Fantasy",,"tt0113636"
1996,"92","Independence Day","USA","Sci-Fi/Action/Adventure",,"tt0116629"
1996,"91","Twister","USA","Thriller/Drama/Action",,"tt0117998"
1996,"90","Mission: Impossible","USA","Action/Thriller/Adventure",,"tt0117060"
1996,"87","The Rock","USA","Action/Thriller/Adventure",,"tt0117500"
1996,"87","The Hunchback of Notre Dame","USA","Animation/Family/Drama",,"tt0116583"
1996,"86","101 Dalmatians","USA","Family/Adventure/Comedy",,"tt0115433"
1996,"85","Ransom","USA","Thriller/Action/Crime",,"tt0117438"
1996,"83","Jerry Maguire","USA","Comedy/Drama/Romance",,"tt0116695"
1996,"83","The Nutty Professor","USA","Comedy/Romance/Sci-Fi",,"tt0117218"
1996,"83","Space Jam","USA","Animation/Family/Sports",,"tt0117705"
1996,"81","The English Patient","USA/GB","Drama/Romance/Epic",,"tt0116209"
1996,"80","Eraser","USA","Action/Thriller/Sci-Fi",,"tt0116213"
1996,"80","The Birdcage","USA","Comedy/-",,"tt0115685"
1996,"80","The First Wives Club","USA","Comedy/-",,"tt0116313"
1996,"79","A Time to Kill","USA","Thriller/Drama/Crime",,"tt0117913"
1996,"79","Phenomenon","USA","Romance/Fantasy/Drama",,"tt0117333"
1996,"79","Broken Arrow","USA","Thriller/Action/Adventure",,"tt0115759"
1996,"78","Star Trek: First Contact","USA","Sci-Fi/Adventure/Action",,"tt0117731"
1996,"77","William Shakespeare's Romeo + Juliet","USA/MEX/AUS/CDN","Romance/Drama/Crime",,"tt0117509"
1996,"75","Trainspotting","GB","Thriller/Drama/Comedy",,"tt0117951"
1996,"75","Sleepers","USA","Thriller/Drama/Crime",,"tt0117665"
1996,"75","Scream","USA","Horror/Thriller/Mystery",,"tt0117571"
1996,"74","Daylight","USA","Thriller/Drama/Action",,"tt0116040"
1996,"74","Jingle All the Way","USA","Family/Comedy/Adventure",,"tt0116705"
1996,"72","Evita","USA","Drama/History/Music",,"tt0116250"
1996,"71","Mars Attacks!","USA","Comedy/Sci-Fi",,"tt0116996"
1996,"71","Michael","USA","Comedy/Fantasy/Drama",,"tt0117038"
1996,"71","Werner - Eat My Dust!!!","D","Animation/Comedy/Action",,"tt0118138"
1996,"70","WrestleMania XII","USA","Event/Action/Sports","d2TV","tt0251485"
1996,"67","Striptease","USA","Thriller/Comedy/Drama",,"tt0117765"
1996,"65","Jailbirds","D","Comedy/Crime/Drama",,"tt0117135"
1996,"65","The Long Kiss Goodnight","USA","Thriller/Action/Drama",,"tt0116908"
1996,"65","Scene of the Crime: Death on Neuwerk","D","Crime/Drama/Mystery","d2TV","tt0117861"
1996,"64","Primal Fear","USA","Thriller/Mystery/Drama",,"tt0117381"
1996,"55","The Superwife","D","Comedy/Drama",,"tt0117788"
1996,"55","The Tonight Show with Jay Leno","USA","Talkshow/Gossip/Show","d2TV","tt1152648"
1996,"52","Drifting Clouds","FIN","Drama/Comedy",,"tt0116752"
1996,"50","From Dusk Till Dawn","USA","Horror/Action/Thriller",,"tt0116367"
1996,"50","Beavis and Butt-Head Do America","USA","Animation/Comedy/Adventure",,"tt0115641"
1996,"50","Executive Decision","USA","Action/Thriller/Adventure",,"tt0116253"
1996,"50","Sex and Zen II","HK","Erotic/Comedy/Fantasy",,"tt0117605"
1996,"48","Fargo","USA/GB","Comedy/Thriller",,"tt0116282"
1996,"45","Last Man Standing","USA","Western/Action/Drama",,"tt0116830"
1996,"42","Tales of Erotica","USA/D","Erotic/Drama/Comedy",,"tt0117827"
1996,"35","The Frighteners","USA/NZ","Horror/Comedy/Fantasy",,"tt0116365"
1996,"34","Muppet Treasure Island","USA","Family/Adventure/Comedy",,"tt0117110"
1996,"33","Tremors 2: Aftershocks","USA","Horror/Comedy/Action","d2Video","tt0114720"
1996,"32","After Five in the Forest Primeval","D","Comedy/Drama/Romance",,"tt0117143"
1996,"29","All Dogs Go to Heaven 2","USA","Animation/Family/Fantasy",,"tt0115509"
1996,"27","Escape from L.A.","USA","Action/Sci-Fi/Adventure",,"tt0116225"
1996,"25","The Van","IRL","Comedy/Drama",,"tt0118064"
1996,"22","Hellraiser IV: Bloodline","USA","Horror/Thriller/Sci-Fi",,"tt0116514"
1996,"21","The Crow: City of Angels","USA","Fantasy/Thriller/Action",,"tt0115986"
1996,"21","Hamlet","GB/USA","Epic/Drama/Adventure",,"tt0116477"
1996,"18","Barb Wire","USA","Action/Sci-Fi/Thriller",,"tt0115624"
1996,"16","Lawnmower Man 2: Beyond Cyberspace","USA","Sci-Fi/Adventure/Thriller",,"tt0116839"
1996,"15","Darkman III: Die Darkman Die","USA/CDN","Sci-Fi/Thriller/Action","d2Video","tt0116033"
1996,"15","Amityville Dollhouse","USA","Horror/Mystery/Fantasy","d2Video","tt0115535"
1996,"12","Bound","USA","Thriller/Crime/Erotic",,"tt0115736"
1996,"12","Body of Influence 2","USA","Erotic/Thriller/Drama","d2Video","tt0115723"
1997,"98","Titanic","USA","Epic/Romance/Drama",,"tt0120338"
1997,"90","The Lost World: Jurassic Park","USA","Adventure/Action/Sci-Fi",,"tt0119567"
1997,"89","As Good as It Gets","USA","Comedy/Drama/Romance",,"tt0119822"
1997,"88","Men in Black","USA","Sci-Fi/Comedy/Action",,"tt0119654"
1997,"88","Bean","GB","Comedy/Adventure/Family",,"tt0118689"
1997,"88","Tomorrow Never Dies","GB/USA","Thriller/Action/Adventure",,"tt0120347"
1997,"87","Face/Off","USA","Thriller/Action/Sci-Fi",,"tt0119094"
1997,"87","Hercules","USA","Animation/Family/Fantasy",,"tt0119282"
1997,"85","Con Air","USA","Action/Thriller/Crime",,"tt0118880"
1997,"85","Liar Liar","USA","Comedy/Fantasy",,"tt0119528"
1997,"85","Air Force One","USA","Thriller/Action/Drama",,"tt0118571"
1997,"85","The Fifth Element","F","Sci-Fi/Adventure/Action",,"tt0119116"
1997,"84","My Best Friend's Wedding","USA","Romance/Comedy/Drama",,"tt0119738"
1997,"81","Batman & Robin","USA","Sci-Fi/Action/Thriller",,"tt0118688"
1997,"80","Good Will Hunting","USA","Drama/Romance",,"tt0119217"
1997,"80","Flubber","USA","Comedy/Sci-Fi/Family",,"tt0119137"
1997,"80","Dante's Peak","USA","Thriller/Drama/Action",,"tt0118928"
1997,"80","Princess Mononoke","J","Animation/Adventure/Action",,"tt0119698"
1997,"79","Life Is Beautiful","I","Drama/Comedy/Romance",,"tt0118799"
1997,"77","Scream 2","USA","Horror/Thriller/Mystery",,"tt0120082"
1997,"77","Contact","USA","Sci-Fi/Mystery/Drama",,"tt0118884"
1997,"77","George of the Jungle","USA","Family/Adventure/Comedy",,"tt0119190"
1997,"77","The Jackal","USA","Thriller/Action/Drama",,"tt0119395"
1997,"76","Speed 2: Cruise Control","USA","Action/Thriller/Adventure",,"tt0120179"
1997,"75","Alien: Resurrection","USA","Sci-Fi/Horror/Action",,"tt0118583"
1997,"74","Anastasia","USA","Animation/Family/Drama",,"tt0118617"
1997,"73","Seven Years in Tibet","USA","Epic/Drama/Adventure",,"tt0120102"
1997,"72","I Know What You Did Last Summer","USA","Horror/Mystery",,"tt0119345"
1997,"71","Conspiracy Theory","USA","Action/Thriller/Mystery",,"tt0118883"
1997,"71","Anaconda","USA","Adventure/Horror/Action",,"tt0118615"
1997,"70","Donnie Brasco","USA","Thriller/Drama/Crime",,"tt0119008"
1997,"69","L.A. Confidential","USA","Thriller/Drama/Mystery",,"tt0119488"
1997,"69","Austin Powers: International Man of Mystery","USA","Comedy/Thriller/Adventure",,"tt0118655"
1997,"68","Starship Troopers","USA","Sci-Fi/Action/Horror",,"tt0120201"
1997,"68","Knockin' on Heaven's Door","D","Action/Comedy/Crime",,"tt0119472"
1997,"68","Neon Genesis Evangelion: The End of Evangelion","J","Animation/Sci-Fi/Drama",,"tt0169858"
1997,"65","Perfect Blue","J","Animation/Thriller/Drama",,"tt0156887"
1997,"65","Columbo: A Trace of Murder","USA","Crime/Drama/Mystery","d2TV","tt0118874"
1997,"62","The Game","USA","Thriller/Mystery/Drama",,"tt0119174"
1997,"62","Neon Genesis Evangelion: Death & Rebirth","J","Animation/Sci-Fi/Drama",,"tt0169880"
1997,"60","Rossini","D","Comedy/Drama",,"tt0120037"
1997,"59","The Little Bastard","D","Animation/Comedy",,"tt0119471"
1997,"56","Jackie Brown","USA","Thriller/Action/Crime",,"tt0119396"
1997,"55","Home Alone 3","USA","Comedy/Family/Action",,"tt0119303"
1997,"55","The Harmonists","A/D","Drama/Music/History",,"tt0128133"
1997,"48","Wag the Dog","USA","Comedy/Drama",,"tt0120885"
1997,"46","In & Out","USA","Comedy/Romance",,"tt0119360"
1997,"45","Mortal Kombat Annihilation","USA","Sci-Fi/Action/Adventure",,"tt0119707"
1997,"44","Breakdown","USA","Thriller/Drama/Mystery",,"tt0118771"
1997,"42","Boogie Nights","USA","Comedy/Drama/Erotic",,"tt0118749"
1997,"41","Event Horizon","GB/USA","Horror/Sci-Fi/Thriller",,"tt0119081"
1997,"40","Amistad","USA","Drama/History/Adventure",,"tt0118607"
1997,"40","Honey, We Shrunk Ourselves","USA","Family/Adventure/Comedy","d2Video","tt0119310"
1997,"39","Vegas Vacation","USA","Comedy/Adventure",,"tt0120434"
1997,"34","Gattaca","USA","Sci-Fi/Drama/Thriller",,"tt0119177"
1997,"32","Another 9 1/2 Weeks / Love in Paris","USA/F/GB","Romance/Drama/Erotic","d2Video","tt0119576"
1997,"30","Fathers' Day","USA","Comedy/Crime",,"tt0119109"
1997,"28","20,000 Leagues Under the Sea","USA","Adventure/Family/Sci-Fi","d2TV","tt0118247"
1997,"27","Asteroid","USA","Thriller/Sci-Fi","d2TV","tt0118261"
1997,"27","Lost Highway","USA/F","Mystery/Thriller/Horror",,"tt0116922"
1997,"27","The Postman","USA","Adventure/Drama/Sci-Fi",,"tt0119925"
1997,"25","Practice Dr. Bunnyheart","D","Comedy/-",,"tt0119932"
1997,"23","Firehouse","USA","Thriller/Drama/Action","d2TV","tt0138447"
1997,"23","Insomnia","N","Thriller/Drama/Mystery",,"tt0119375"
1997,"21","Free Willy 3: The Rescue","USA","Family/Adventure/Drama",,"tt0119152"
1997,"15","Lolita","USA/F","Drama/Crime/Romance",,"tt0119558"
1997,"12","Leprechaun 4: In Space","USA","Horror/Comedy/Sci-Fi",,"tt0116861"
1997,"12","Funny Games","A","Horror/Drama/Thriller",,"tt0119167"
1998,"88","Armageddon","USA","Thriller/Sci-Fi/Action",,"tt0120591"
1998,"87","Saving Private Ryan","USA","Action/Drama/Epic",,"tt0120815"
1998,"84","Godzilla","USA","Sci-Fi/Action/Thriller",,"tt0120685"
1998,"83","There's Something About Mary","USA","Romance/Comedy",,"tt0129387"
1998,"82","A Bug's Life","USA","Animation/Family/Adventure",,"tt0120623"
1998,"81","Deep Impact","USA","Thriller/Drama/Sci-Fi",,"tt0120647"
1998,"80","Pokémon: The First Movie - Mewtwo Strikes Back","J","Animation/Adventure/Sci-Fi",,"tt0190641"
1998,"79","Mulan","USA","Animation/Family/Adventure",,"tt0120762"
1998,"77","Dr. Dolittle","USA","Family/Fantasy/Comedy",,"tt0118998"
1998,"76","Lethal Weapon 4","USA","Action/Comedy/Thriller",,"tt0122151"
1998,"76","Shakespeare in Love","USA/GB","Romance/Comedy/History",,"tt0138097"
1998,"74","The Truman Show","USA","Drama/Sci-Fi/Comedy",,"tt0120382"
1998,"72","Enemy of the State","USA","Action/Thriller",,"tt0120660"
1998,"72","You've Got Mail","USA","Romance/Comedy/Drama",,"tt0128853"
1998,"72","The Mask of Zorro","USA","Adventure/Western/Comedy",,"tt0120746"
1998,"70","Rush Hour","USA","Action/Comedy/Crime",,"tt0120812"
1998,"70","The Visitors II: The Corridors of Time","F","Comedy/Adventure/Fantasy",,"tt0120882"
1998,"66","The Prince of Egypt","USA","Animation/Family/Adventure",,"tt0120794"
1998,"65","Taxi","F","Action/Comedy/Crime",,"tt0152930"
1998,"65","Flowers of Shanghai","RC","Drama/Romance/Adventure",,"tt0156587"
1998,"65","Columbo: Ashes to Ashes","USA","Crime/Drama/Mystery","d2TV","tt0144141"
1998,"61","Star Trek: Insurrection","USA","Sci-Fi/Adventure/Action",,"tt0120844"
1998,"61","Elizabeth","GB","Drama/History",,"tt0127536"
1998,"60","The X-Files: Fight the Future","USA","Mystery/Sci-Fi/Crime",,"tt0120902"
1998,"60","Patch Adams","USA","Drama/Comedy",,"tt0129290"
1998,"59","City of Angels","USA","Romance/Fantasy/Drama",,"tt0120632"
1998,"58","The Waterboy","USA","Comedy/Sports",,"tt0120484"
1998,"57","The Horse Whisperer","USA","Drama/Romance/Western",,"tt0119314"
1998,"56","The Man in the Iron Mask","USA","Adventure/Drama/Action",,"tt0120744"
1998,"56","Run Lola Run","D","Thriller/Action/Mystery",,"tt0130827"
1998,"55","The Tonight Show with Jay Leno","USA","Talkshow/Gossip/Show","d2TV","tt2393533"
1998,"53","Antz","USA","Animation/Family/Adventure",,"tt0120587"
1998,"52","Les Misérables","GB/D/USA","Drama/Crime/Romance",,"tt0119683"
1998,"51","Blade","USA","Action/Horror/Sci-Fi",,"tt0120611"
1998,"51","Meet Joe Black","USA","Romance/Fantasy/Drama",,"tt0119643"
1998,"50","Lost in Space","USA","Sci-Fi/Family/Adventure",,"tt0120738"
1998,"47","The Siege","USA","Action/Thriller",,"tt0133952"
1998,"47","The Thin Red Line","USA","Epic/Action/Drama",,"tt0120863"
1998,"46","U.S. Marshals","USA","Action/Thriller/Crime",,"tt0120873"
1998,"45","Babe: Pig in the City","AUS/USA","Family/Comedy/Adventure",,"tt0120595"
1998,"44","Mercury Rising","USA","Thriller/Action/Drama",,"tt0120749"
1998,"44","Halloween H20: 20 Years Later","USA","Horror/Thriller/Drama",,"tt0120694"
1998,"44","The Parent Trap","USA","Family/Comedy/Romance",,"tt0120783"
1998,"43","What Dreams May Come","USA","Drama/Fantasy/Romance",,"tt0120889"
1998,"43","Ronin","USA","Thriller/Action/Crime",,"tt0122690"
1998,"43","Love Scenes from Planet Earth","D","Comedy/Romance",,"tt0157990"
1998,"40","Monella / Frivolous Lola","I","Erotic/Comedy/Romance",,"tt0174931"
1998,"40","Sex and Zen III","HK","Erotic/Comedy/Fantasy",,"tt0133196"
1998,"39","Bride of Chucky","USA","Horror/Thriller/Comedy",,"tt0144120"
1998,"37","The Big Lebowski","USA/GB","Comedy/Crime",,"tt0118715"
1998,"37","Pleasantville","USA","Comedy/Fantasy/Drama",,"tt0120789"
1998,"33","I Still Know What You Did Last Summer","USA/MEX/D","Horror/Mystery/Thriller",,"tt0130018"
1998,"30","Jack Frost","USA","Family/Fantasy/Comedy",,"tt0141109"
1998,"28","American History X","USA","Thriller/Drama/Crime",,"tt0120586"
1998,"27","Dark City","USA/AUS","Thriller/Mystery/Sci-Fi",,"tt0118929"
1998,"26","Fear and Loathing in Las Vegas","USA","Comedy/Adventure/Drama",,"tt0120669"
1998,"19","Soldier","USA","Sci-Fi/Action/Drama",,"tt0120157"
1998,"15","Pi","USA","Mystery/Drama/Horror",,"tt0138704"
1999,"95","Star Wars: Episode I - The Phantom Menace","USA","Sci-Fi/Adventure/Fantasy",,"tt0120915"
1999,"88","The Sixth Sense","USA","Thriller/Drama/Mystery",,"tt0167404"
1999,"87","Toy Story 2","USA","Animation/Family/Adventure",,"tt0120363"
1999,"85","The Matrix","USA/AUS","Sci-Fi/Action/Mystery",,"tt0133093"
1999,"85","The Mummy","USA","Adventure/Fantasy/Action",,"tt0120616"
1999,"84","The World Is Not Enough","GB/USA","Thriller/Action/Adventure",,"tt0143145"
1999,"84","Tarzan","USA","Animation/Family/Adventure",,"tt0120855"
1999,"82","Notting Hill","USA/GB","Romance/Comedy/Drama",,"tt0125439"
1999,"81","Austin Powers: The Spy Who Shagged Me","USA","Comedy/Thriller/Adventure",,"tt0145660"
1999,"80","American Beauty","USA","Romance/Drama/Comedy",,"tt0169547"
1999,"79","Runaway Bride","USA","Romance/Comedy",,"tt0163187"
1999,"77","Stuart Little","USA","Family/Fantasy/Comedy",,"tt0164912"
1999,"75","The Green Mile","USA","Thriller/Drama/Fantasy",,"tt0120689"
1999,"75","Asterix and Obelix vs. Caesar","F/I/D","Comedy/Adventure/Family",,"tt0133385"
1999,"75","Pokémon the Movie 2000","J","Animation/Adventure/Sci-Fi",,"tt0210234"
